Phrase,Sentiment
average adequate,Neutral
usual normal,Neutral
bad weak disappointing angry,Negative
failure angry frustrated,Negative
typical regular common,Neutral
bad angry,Negative
terrible horrible angry,Negative
normal standard,Neutral
frustrated terrible failure sad,Negative
horrible bad weak failure,Negative
adequate typical basic,Neutral
joyful inspired excellent,Positive
sufficient standard usual,Neutral
usual standard adequate regular,Neutral
angry disappointing horrible,Negative
basic typical usual adequate,Neutral
successful inspired strong,Positive
sad failure disappointing frustrated,Negative
weak failure,Negative
common usual,Neutral
poor failure,Negative
frustrated terrible,Negative
strong excellent,Positive
sad bad,Negative
inspired happy,Positive
joyful creative,Positive
average basic standard adequate,Neutral
adequate basic standard typical,Neutral
frustrated poor horrible terrible,Negative
horrible failure poor,Negative
wonderful joyful,Positive
sad horrible,Negative
brilliant wonderful happy successful,Positive
adequate average,Neutral
sad frustrated terrible horrible,Negative
good brilliant creative,Positive
strong successful,Positive
sad poor frustrated bad,Negative
strong good,Positive
weak poor horrible,Negative
regular common,Neutral
successful creative happy,Positive
standard normal,Neutral
normal basic average usual,Neutral
bad horrible sad,Negative
successful strong inspired,Positive
poor weak angry,Negative
terrible sad horrible bad,Negative
joyful excellent creative good,Positive
poor terrible,Negative
standard sufficient average,Neutral
horrible disappointing bad frustrated,Negative
typical average,Neutral
sufficient average,Neutral
brilliant creative inspired wonderful,Positive
adequate common typical,Neutral
horrible failure terrible weak,Negative
adequate regular average normal,Neutral
frustrated failure poor terrible,Negative
wonderful successful strong inspired,Positive
terrible bad poor,Negative
adequate normal usual sufficient,Neutral
creative happy good,Positive
disappointing weak,Negative
happy joyful inspired,Positive
basic common adequate,Neutral
angry terrible,Negative
brilliant strong,Positive
good creative inspired,Positive
regular average usual typical,Neutral
bad frustrated,Negative
usual average normal,Neutral
basic adequate,Neutral
common sufficient,Neutral
regular common,Neutral
strong successful happy joyful,Positive
disappointing sad frustrated,Negative
excellent successful,Positive
terrible failure weak,Negative
angry terrible horrible poor,Negative
excellent creative successful,Positive
common adequate,Neutral
terrible horrible bad,Negative
weak frustrated,Negative
wonderful creative brilliant,Positive
weak angry bad,Negative
regular standard basic normal,Neutral
creative inspired successful wonderful,Positive
regular common sufficient,Neutral
typical sufficient,Neutral
weak poor,Negative
typical standard,Neutral
usual average regular typical,Neutral
disappointing weak terrible angry,Negative
adequate typical usual average,Neutral
strong successful happy,Positive
frustrated horrible bad,Negative
good wonderful joyful,Positive
sufficient basic,Neutral
weak frustrated angry,Negative
successful joyful excellent,Positive
normal regular basic adequate,Neutral
weak frustrated sad angry,Negative
frustrated failure poor bad,Negative
excellent successful,Positive
typical regular standard average,Neutral
happy wonderful joyful,Positive
adequate sufficient typical,Neutral
sufficient usual typical,Neutral
normal sufficient average typical,Neutral
good wonderful,Positive
happy joyful,Positive
common regular usual,Neutral
